,src,rtime,dst,size,sid,mid
1521,1,235124,3,588025,5,18
1522,1,235129,3,585349,5,26
1523,1,235134,3,589164,5,28
1524,1,235139,3,586130,5,29
1525,1,235144,3,585353,5,30
1526,1,235152,2,585407,5,14
1527,1,235154,3,585117,5,33
1528,1,235159,3,583409,5,35
1529,1,235164,2,587222,5,18
1530,1,235175,2,587654,5,26
1531,1,235186,2,587070,5,28
1532,1,235198,2,587652,5,29
1533,1,235210,2,585984,5,30
1534,1,235219,2,587167,5,33
1535,1,235229,2,586495,5,35
1536,1,235240,2,589648,5,0
1537,1,235249,2,587648,5,5
1538,1,235399,2,584697,5,6
1539,1,235408,2,588462,5,7
1540,1,235413,2,585544,5,14
1541,1,235420,2,585216,5,18
1542,1,235427,2,584451,5,26
1543,1,235433,2,589389,5,28
1544,1,235438,2,587479,5,29
1545,1,235443,2,587700,5,30
1546,1,235448,2,590501,5,33
1547,1,235453,2,590914,5,35
1548,1,235458,2,586338,5,0
1549,1,235464,2,585894,5,5
1550,1,235469,2,587416,5,6
1551,1,235473,2,585640,5,7
1552,1,235478,2,587466,5,14
1553,1,235483,2,583961,5,18
1554,1,235488,2,588195,5,26
1555,1,235493,2,586071,5,28
1556,1,235499,2,591602,5,29
1557,1,235504,2,585529,5,30
1558,1,235509,2,584870,5,33
1559,1,235514,2,582103,5,35
1560,1,235519,2,587125,5,0
1561,1,235526,2,586355,5,5
1562,1,235531,2,584100,5,6
1563,1,235537,2,586111,5,7
1564,1,235542,2,586665,5,14
1565,1,235545,2,586572,5,18
1566,1,235550,2,586532,5,26
1567,1,235555,2,586494,5,28
1568,1,235560,2,584215,5,29
1569,1,235566,2,586330,5,30
1570,1,235571,2,589596,5,33
1571,1,235576,2,590641,5,35
1572,1,236268,3,587043,5,0
1573,1,236285,3,586015,5,5
1574,1,236308,3,585644,5,6
1575,1,236323,3,589165,5,7
1576,1,236331,3,588116,5,14
1577,1,236342,3,586083,5,18
1578,1,236352,3,586924,5,26
1579,1,236362,3,588858,5,28
1580,1,236372,3,586821,5,29
1581,1,236383,3,585944,5,30
1582,1,236392,3,585193,5,33
1583,1,236402,3,587770,5,35
1584,1,236416,3,586784,5,0
1585,1,236431,3,586841,5,5
1586,1,236441,3,585846,5,6
1587,1,236456,3,586643,5,7
1588,1,236469,3,587390,5,14
1589,1,236476,3,587520,5,18
1590,1,236481,3,588742,5,26
1591,1,236486,3,585515,5,28
1592,1,236492,3,583190,5,29
1593,1,236497,3,588429,5,30
1594,1,236502,3,585015,5,33
1595,1,236510,3,591060,5,35
1596,1,236514,3,586498,5,0
1597,1,236522,3,586484,5,5
1598,1,236530,3,587719,5,6
1599,1,236539,3,587808,5,7
1600,1,236548,3,584275,5,14
1601,1,236556,3,589222,5,18
1602,1,236560,3,587069,5,26
1603,1,236572,3,583427,5,28
1604,1,236574,3,583674,5,29
1605,1,236577,3,584590,5,30
1606,1,236584,3,585242,5,33
1607,1,236591,3,588455,5,35
1608,1,236597,3,585568,5,0
1609,1,236601,3,584788,5,5
1610,1,236607,3,588332,5,6
1611,1,236612,3,586121,5,7
1612,1,236618,3,590558,5,14
1613,1,236623,3,585450,5,18
1614,1,236628,3,587566,5,26
1615,1,236635,3,587890,5,28
1616,1,236637,3,586218,5,29
1617,1,236642,3,586005,5,30
1618,1,236648,3,589199,5,33
1619,1,236653,3,587791,5,35
1620,1,236768,2,584782,5,0
1621,1,236778,2,585625,5,5
1622,1,236783,2,584931,5,6
